"","word","freq"
"1","makerspace",3911
"2","school",783
"3","learner",700
"4","make",625
"5","create",620
"6","library",606
"7","learn",522
"8","great",482
"9","today",469
"10","project",438
"11","thank",396
"12","fun",368
"13","build",361
"14","space",328
"15","maker",322
"16","work",294
"17","come",259
"18","design",258
"19","day",252
"20","check",246
"21","love",233
"22","challenge",231
"23","book",222
"24","class",219
"25","take",201
"26","grade",195
"27","time",189
"28","explore",188
"29","help",188
"30","creative",185
"31","open",176
"32","awesome",174
"33","stem",171
"34","education",171
"35","share",166
"36","week",166
"37","collaborate",164
"38","start",159
"39","excited",155
"40","idea",155
"41","circuit",155
"42","need",141
"43","want",137
"44","halloween",135
"45","robot",135
"46","bus",135
"47","look",132
"48","grader",131
"49","amazi",130
"50","kid",130
"51","lego",127
"52","area",127
"53","made",126
"54","define",125
"55","innovate",124
"56","print",123
"57","free",123
"58","thing",122
"59","lab",122
"60","lot",120
"61","educationator",118
"62","always",117
"63","workshop",116
"64","join",114
"65","tip",113
"66","house",112
"67","welcome",112
"68","trip",112
"69","plan",111
"70","support",109
"71","video",107
"72","media",105
"73","classroom",104
"74","code",104
"75","huge",104
"76","active",103
"77","visit",103
"78","event",102
"79","place",100
"80","product",99
"81","cool",99
"82","bring",99
"83","wait",96
"84","happen",96
"85","sets",95
"86","know",95
"87","tool",93
"88","game",92
"89","october",92
"90","inspire",92
"91","handson",92
"92","science",92
"93","win",91
"94","readi",90
"95","teach",89
"96","think",89
"97","room",88
"98","doesnt",88
"99","experien",87
"100","paper",87
"101","invent",87
"102","anyone",85
"103","session",85
"104","center",85
"105","small",85
"106","latest",84
"107","monday",84
"108","little",84
"109","tomorrow",84
"110","part",84
"111","communities",82
"112","investment",82
"113","show",82
"114","getting",80
"115","club",80
"116","tinker",80
"117","tech",79
"118","popup",78
"119","easier",76
"120","storify",76
"121","best",76
"122","pumpkin",75
"123","skill",74
"124","next",73
"125","play",73
"126","present",72
"127","mind",71
"128","say",71
"129","kit",70
"130","include",69
"131","art",69
"132","talk",68
"133","mrs",68
"134","becomes",67
"135","top",67
"136","oct",66
"137","donate",66
"138","busily",66
"139","greenhouse",66
"140","much",65
"141","morning",65
"142","run",65
"143","test",64
"144","program",64
"145","meet",63
"146","creation",63
"147","studio",63
"148","lesson",63
"149","group",63
"150","november",63
"151","fair",63
"152","cant",61
"153","success",61
"154","trend",60
"155","launch",60
"156","wall",60
"157","friday",60
"158","looking",60
"159","concerned",59
"160","increasingly",59
"161","removing",59
"162","enjoy",59
"163","material",59
"164","celebrate",58
"165","team",58
"166","young",57
"167","edtech",57
"168","older",57
"169","cardboard",56
"170","template",56
"171","enter",56
"172","perfect",55
"173","let",55
"174","children",55
"175","add",54
"176","along",54
"177","good",54
"178","night",53
"179","stop",53
"180","dont",53
"181","truck",53
"182","math",53
"183","friend",53
"184","machine",52
"185","home",51
"186","resource",51
"187","complete",51
"188","bot",50
"189","got",50
"190","local",49
"191","stuff",49
"192","rural",49
"193","course",48
"194","big",48
"195","begin",48
"196","control",48
"197","opportunity",47
"198","tour",47
"199","reallif",47
"200","card",47
"201","proud",47
"202","tonight",47
"203","eduaubdedubu",46
"204","printer",46
"205","power",46
"206","engage",45
"207","back",45
"208","give",45
"209","transform",45
"210","sheffield",45
"211","please",45
"212","technology",45
"213","station",45
"214","makey",44
"215","engine",44
"216","ever",44
"217","craft",44
"218","expert",44
"219","maze",43
"220","grant",43
"221","together",43
"222","age",43
"223","right",42
"224","money",42
"225","ready",42
"226","problem",41
"227","mobile",40
"228","uufef",40
"229","jones",40
"230","sign",40
"231","familiar",40
"232","computer",40
"233","keep",40
"234","host",39
"235","social",39
"236","uses",39
"237","district",39
"238","digital",39
"239","month",39
"240","organiz",39
"241","interest",39
"242","college",39
"243","step",39
"244","electronic",38
"245","haunted",38
"246","afternoon",38
"247","quick",38
"248","light",38
"249","connect",38
"250","motion",38
"251","happiest",37
"252","future",37
"253","tell",37
"254","maven",37
"255","construct",37
"256","structure",37
"257","laser",36
"258","movement",36
"259","steam",36
"260","poster",36
"261","guest",36
"262","lunch",36
"263","bridge",36
"264","block",36
"265","box",36
"266","wonder",35
