"","word","TfIdf"
"1","makerspace",983.50788906146
"2","school",492.973914106736
"3","create",465.542021987935
"4","make",423.618598089335
"5","learn",414.618981106497
"6","learner",410.420058570263
"7","library",370.544216455778
"8","project",369.468389001406
"9","today",367.010932714542
"10","define",365.920276370171
"11","fun",360.579614181606
"12","great",358.15696905959
"13","thank",331.126517323477
"14","work",263.851268457383
"15","maker",260.427597360357
"16","check",256.494726006285
"17","build",253.884562700854
"18","love",252.361801139183
"19","day",242.837975208846
"20","space",236.313251215762
"21","design",223.882094548743
"22","challenge",216.358633364546
"23","come",213.511771359484
"24","happen",209.243895127465
"25","education",203.396938138352
"26","need",201.067920044903
"27","truck",189.225743832764
"28","grade",188.405216007759
"29","time",187.431006149069
"30","class",181.206664499769
"31","idea",178.438582972602
"32","explore",176.39612058826
"33","creative",175.22677990455
"34","stem",174.984526194059
"35","awesome",174.714994534294
"36","book",169.026632764936
"37","trip",162.644106365848
"38","latest",162.191010106986
"39","share",161.731319768154
"40","bus",158.341974497601
"41","start",158.049483374849
"42","week",153.540578655495
"43","experien",153.231622046039
"44","excited",148.316975756096
"45","take",148.113351311063
"46","open",147.882266811896
"47","circuit",147.556752269656
"48","halloween",145.000316760017
"49","kid",143.468793676435
"50","print",140.87699030605
"51","made",138.864971279991
"52","interview",138.462703206735
"53","lego",138.239489916157
"54","help",137.787152204403
"55","tip",137.61911468683
"56","area",135.427931385947
"57","robot",135.207721919413
"58","join",133.966151142209
"59","lot",130.639587876748
"60","sets",130.523247254301
"61","look",129.929333683499
"62","amazi",129.873026633708
"63","want",129.823452913537
"64","mind",127.332836973858
"65","product",126.676050112849
"66","house",124.133514850915
"67","educationator",123.946591799314
"68","register",122.776665337072
"69","visit",121.328057105149
"70","workshop",119.13779423796
"71","code",118.516828334615
"72","collaborate",118.490284170053
"73","grader",118.404645294696
"74","thing",116.590282217674
"75","classroom",113.963441595487
"76","innovate",113.719158109766
"77","plan",113.50165216982
"78","lab",113.129761731257
"79","support",112.376643184312
"80","active",112.297530128647
"81","free",112.193577837107
"82","teach",111.179513892544
"83","pumpkin",111.176224893754
"84","october",109.508333972785
"85","place",108.160067208838
"86","monday",107.13032442813
"87","easier",106.81296944746
"88","paper",106.520355174423
"89","readi",105.634601289527
"90","oct",105.149906493541
"91","cool",104.690294511017
"92","inspire",104.603990733259
"93","tool",102.538100710222
"94","video",102.003003930333
"95","media",101.309658395422
"96","small",100.942997253324
"97","show",100.903582194105
"98","tinker",100.118970377386
"99","connect",98.8197185462753
"100","present",98.4278092746346
"101","edtech",96.1839651872303
"102","wait",96.0996912484345
"103","bring",96.0351549408812
"104","math",95.9815805647146
"105","club",95.7461804381876
"106","think",95.0575127890629
"107","next",95.0309612190327
"108","room",94.8488522059842
"109","part",94.7530263736989
"110","resource",94.417794890167
"111","getting",94.2741687216294
"112","invent",93.8854888396626
"113","kit",93.729961438053
"114","top",93.6447911281211
"115","event",93.5817590746853
"116","skill",92.9708113711743
"117","session",92.7814056108715
"118","always",92.3287323544057
"119","win",92.314673618405
"120","game",92.2941520191521
"121","know",90.5835411758897
"122","les",88.6337329094757
"123","science",87.8141123035828
"124","test",87.6278670160473
"125","morning",87.506601827309
"126","busily",87.214249127154
"127","little",86.988808139913
"128","creation",86.3621089072865
"129","heck",85.2425901901079
"130","success",85.0916019326944
"131","older",84.2225357199083
"132","fair",83.9630894094992
"133","run",82.9825522222186
"134","ccsdlc",82.5507189209466
"135","say",82.4764238729432
"136","tomorrow",82.2394650090124
"137","center",80.8266403566815
"138","budget",80.779458589073
"139","celebrate",79.8959615386794
"140","tech",79.8453531352742
"141","welcome",79.7538516714163
"142","play",79.5843831822847
"143","storify",79.3648973737681
"144","anyone",79.2210864519756
"145","wall",78.9414881739408
"146","enjoy",78.2798367018885
"147","art",77.741085065843
"148","greenhouse",77.6422203959191
"149","best",77.2441093831656
"150","htt",76.6819672817962
"151","much",76.4587495211581
"152","huge",76.1229894445308
"153","material",75.8628936000893
"154","station",75.8131388965027
"155","haunted",75.2996510661891
"156","jones",74.7104636810131
